Aachenerin,Aachener
Abbildungsverhältnisse,Imaging ratios
Abbildungsverhältnissen,Imaging ratios
Abbildungsverhältnisses,Apprenticeship
Abbildungsverzeichnis,List of figures
Abbildungsverzeichnisse,List of figures
Abbildungsverzeichnissen,Lists of figures
Abbildungsverzeichnisses,List of figures
Abbildungsverzerrung,Image distortion
Abbildungsverzerrungen,Image distortion
Abbildungsvorlage,Illustration template
Abbildungsvorlagen,Illustration templates
Abbildungsvorschlag,Illustration suggestion
Abbildungsvorschläge,Illustration suggestions
Abbildungsvorschlägen,Mapping suggestions
Abbildungsvorschlages,Illustration suggestion
Abbildungsvorschlags,Figure suggestion
Abbildungsvorschrift,Mapping rule
Abbildungsvorschriften,Mapping rules
Abbildungswerk,Illustrations
Abbildungswerke,Illustrations
Abbildungswerken,Illustration works
Abbildungswerkes,Illustration work
Abbildungswerks,Illustration works
Abbildverhältnis,Aspect ratio
Abbildverhältnisse,Image relationships
Abbildverhältnissen,Image relationships
Abbildverhältnisses,Aspect ratio
Abbildzüchtung,Image breeding
Abbildzüchtungen,Image breeding
Abbindeanlage,Setting machine
Abbindeanlagen,Setting machines
Abbindebeschleuniger,Setting accelerator
Abbindebeschleunigern,Setting accelerators
Abbindebeschleunigers,Setting accelerator
Abbindeexpansion,Setting expansion
abbindefähig,bindable
abbindefähige,settable
abbindefähigen,settable
abbindefähiger,more bindable
abbindefähiges,settable
Abbindefrist,Setting period
Abbindegeschwindigkeit,Setting speed
Abbindegeschwindigkeiten,Setting speeds
Abbindelager,Ligation bearing
Abbindelagern,Tying bearings
Abbindelagers,Ligation bearing
abbinden,tie off
abbindend,setting
abbindende,setting
abbindenden,setting
abbindender,setting
abbindendes,setting
Abbindephase,Setting phase
Abbindeplätze,Binding areas
Abbindeplätzen,Tying areas
Abbindeplatzes,Tying area
Abbindeprozess,Setting process
Abbindeprozesse,Setting processes
Abbindeprozessen,Setting processes
Abbinderegulator,Setting regulator
Abbinderegulatoren,Setting regulators
Abbinderegulators,Setting regulator
Abbindern,Setting
Abbinders,Binder
abbindest,tie off
abbindet,sets
Abbindeverhaltens,Setting behavior
Abbindeverzögerer,Setting retarder
Abbindeverzögerern,Setting retarders
Abbindeverzögerers,Setting retarder
Abbindevorgangs,Setting process
Abbindewärme,Setting heat
Abbindezeit,Setting time
Abbindezeiten,Setting times
Abbindungsschnüre,Lanyards
Abbindungsschnüren,Lacing cords
abbiss,bite off
abbisse,bites
abbissen,bite off
abbisst,bites off
abbitten,ask
Abbittens,Atonement
abbittet,asks
Abblasdruckregler,Relief pressure regulator
Abblasdruckreglern,Blow-off pressure regulators
Abblasdüse,Blow-off nozzle
Abblasdüsen,Blow-off nozzles
Abblaseabsperrventile,Blow off shut-off valves
Abblasebehälterkühler,Blow-off tank cooler
Abblaseinrichtung,Blow-off device
abblasen,blow off
abblasend,blowing off
abblasende,blowing off
abblasendem,blowing off
abblasender,blowing off
Abblaseregelventile,Relief control valves
Abblaseregelventils,Relief control valve
Abblaserohren,Blow off pipes
Abblaserohrs,Blow-off pipe
Abblaseschalldämpfer,Blow-off silencer
Abblaseschalldämpfers,Exhaust silencer
Abblaseventil,Relief valve
Abblaseventils,Relief valve
abblassende,fading
abblassendem,fading
abblassender,fading
abblättern,peel off
Abblendlichter,Low beam
Abblendlichtern,Low beam
Abblendrelais,Dimming relay
abblieb,stopped
abblieben,stayed away
abblies,blew off
abblitzend,flashing
abblitzendem,flashing
abblitzenden,flashing
abblitzender,flashier
abblitzendes,flashing
Abblitzens,Flashing
abblitzte,flashed
abblitzten,flashed
abblitztest,flashed
abblocke,block
abblockendem,blocking
abblockenden,blocking
abblockender,blocking
abblockten,block
Abblockung,Blocking
Abblockungen,Blocking
abblühe,bloom
abblühen,bloom
abblühend,withering
abblühende,withering
abblühenden,withering
abblühender,more withering
abblühendes,withering
abblüht,withers
abblühte,withered
abblühten,withered
abbog,turned
abbogen,turn
abbögen,turn off
abbögest,turned off
abböget,turned off
abbogst,turned off
abbogt,turns
abbrach,broke off
abbräche,break off
abbrachen,break off
abbrächen,abort
abbrächest,abort
abbrächet,breaks off
abbrachst,broke off
abbracht,dissuades
abbrachte,dissuaded
abbrächte,would dissuade
abbrachten,dissuaded
abbrachtest,dissuaded
abbrächtest,aborted
abbrachtet,dissuades
abbrächtet,breaks off
Abbrandanfluges,Burning approach
Abbrandanzeige,Burn indicator
Abbrände,Burns
Abbrandgeschwindigkeit,Burn rate
Abbrandgeschwindigkeiten,Burn rates
Abbrandmonitor,Burn monitor
Abbrandmonitors,Burn monitor
Abbrandoberfläche,Charring surface
Abbrandoberflächen,Burn surfaces
Abbrandprofil,Burning profile
Abbrandprofile,Burn profiles
Abbrandprofilen,Burn profiles
Abbrandrate,Burn rate
Abbrands,Burn-off
Abbrandschalter,Burn switch
Abbrandschaltern,Burnout switches
Abbrandschalters,Burn switch
Abbrandstreifen,Charring strips
Abbrandstreifens,Burn strip
Abbrandverhalten,Burning behavior
Abbrandverhaltens,Burning behavior
Abbrandzeit,Burning time
Abbrandziel,Burn target
abbrannte,burned down
abbrannten,burned down
abbranntest,burned down
abbranntet,burned down
abbrause,shower off
abbrausen,shower off
abbrausend,showering off
abbrausende,showering
abbrausendem,effervescent
abbrausenden,shower off
abbrausender,effervescent
abbrausendes,effervescent
Abbrausens,Showering
abbraust,roars off
abbrauste,roared off
abbrausten,to roar
abbraustest,sprayed off
abbraustet,roars off
abbreche,break off
abbrechen,abort
abbrechend,breaking off
abbrechende,terminating
abbrechendem,terminating
abbrechenden,aborting
abbrechender,breaking off
abbrechendes,terminating
Abbrechens,Abort
Abbrecher,Dropout
Abbrecherin,Dropout
Abbrecherinnen,Dropouts
Abbrechern,Abort
Abbrecherquote,Dropout rate
Abbrecherquoten,Dropout rates
Abbrechers,Dropout
Abbrechhilfe,Break-off aid
Abbrechhilfen,Break-off aids
Abbrechklinge,Snap-off blade
Abbrechklingen,Snap-off blades
Abbrechklingenmesser,Snap-off blade knife
Abbrechklingenmessern,Snap-off blade knives
Abbrechklingenmessers,Snap-off knife
Abbrechstift,Snap-off pin
Abbrechstifte,Snap-off pins
Abbrechstiften,Snap-off pins
Abbrechstiftes,Snap-off pin
Abbrechstifts,Snap-off pin
abbrecht,cancel
Abbremsassistent,Braking assistant
Abbremsassistenten,Braking assistant
abbremse,brake
abbremsen,slow down
abbremsend,decelerating
abbremsende,decelerating
abbremsendem,decelerating
abbremsenden,decelerate
abbremsender,decelerating
abbremsendes,decelerating
Abbremsens,Braking
abbremsest,slow down
Abbremsgeschwindigkeit,Deceleration speed
Abbremsgeschwindigkeiten,Deceleration speeds
Abbremsmanöver,Braking maneuvers
Abbremsmanövern,Braking maneuvers
Abbremsmanövers,Braking maneuver
Abbremsphase,Deceleration phase
Abbremsphasen,Deceleration phases
abbremst,brakes
abbremsten,slow down
abbremstest,deceleration test
abbremstet,brakes
Abbremsung,Deceleration
Abbremsungen,Decelerations
Abbremsverhalten,Braking behavior
Abbremsverhaltens,Braking behavior
Abbremsvorgang,Braking process
Abbremsvorgänge,Braking processes
Abbremsvorgängen,Braking processes
Abbremsvorgangs,Braking process
Abbremsvorrichtung,Braking device
Abbremsvorrichtungen,Braking devices
Abbremszeit,Deceleration time
Abbremszeiten,Deceleration times
abbrennbare,burnable
abbrennbarem,burnable
abbrennbaren,burnable
abbrennbarer,combustible
abbrennbares,burnable
Abbrenndauer,Burning time
abbrenne,burn down
abbrennend,burning down
abbrennende,burning down
abbrennendem,burning down
abbrennenden,burning down
abbrennender,burning up
abbrennendes,burning
Abbrennens,Burning down
Abbrenngeschwindigkeit,Burn rate
Abbrennlöffel,Burning spoon
Abbrennlöffeln,Burning spoons
Abbrennlöffels,Burning spoon
Abbrennreaktion,Burning reaction
Abbrennreaktionen,Burn-off reactions
Abbrennschalter,Burn switch
Abbrennschaltern,Burnout switches
Abbrennschalters,Burn off switch
Abbrennschweißen,Flash welding
Abbrennschweißens,Flash welding
Abbrennschweißung,Flash welding
abbrennst,burn down
Abbrennstück,Burn-off piece
Abbrennstücke,Burnouts
Abbrennstücken,Burning Pieces
Abbrennstücks,Burn-off piece
abbrennt,burns down
Abbrennverhalten,Burning behavior
Abbrennverhaltens,Burning behavior
Abbrennvorgang,Burning process
Abbrennvorgänge,Burning processes
Abbrennvorgängen,Burning processes
Abbrennvorganges,Burning process
Abbrennvorgangs,Burning process
Abbrennzeit,Burn time
Abbrennzeiten,Burning times
Abbreviationen,Abbreviations
Abbreviaturen,Abbreviations
abbreviiere,abbreviate
abbreviieren,graduate
abbreviierend,graduate
abbreviierende,abbreviating
abbreviierendem,abbreviating
abbreviierenden,abbreviating
abbreviierender,abbreviating
abbreviierendes,abbreviating
abbreviierst,abbreviate
abbreviiert,Abbreviated
abbreviierte,abbreviated
abbreviiertem,abbreviated
abbreviierten,abbreviated
abbreviierter,Abbreviated
abbreviiertes,abbreviations
abbreviiertest,abbreviated
abbrichst,breaks off
abbricht,breaks off
abbringe,dissuade
abbringen,dissuade
abbringend,dissuasive
abbringende,dissuasive
abbringendem,dissuasive
abbringenden,dissuasive
abbringender,more dissuasive
abbringendes,dissuasive
Abbringens,Dissuasion
abbringst,dissuade
abbringt,dissuades
abbrocke,chipped off
abbröckele,crumble
abbröckeln,crumble off
abbröckelnd,crumbling
abbröckelnde,crumbling
abbröckelndem,crumbling
abbröckelnden,crumbling
abbröckelnder,crumbling
abbröckelndes,crumbling
Abbröckelns,Crumbling
abbröckelst,crumble
abbröckelt,crumbles
abbröckelte,crumbled off
abbröckelten,crumbled off
abbröckeltet,crumbled
Abbröckelung,Crumbling
abbrocken,chipped off
abbrockend,rocking
abbrockendem,rocking
abbrockenden,crumbling
abbröckle,crumble
abbrockst,crashes
abbrockt,rocks off
abbrockte,rocked
abbrockten,rocked
abbrocktest,rocked
abbrösele,peel off
abbröseln,crumble off
abbröselnd,crumbling
abbröselnde,crumbling
abbröselndem,crumbling
abbröselnden,crumbling
abbröselnder,crumbling
abbröselndes,crumbling
Abbröselns,Peeling off
abbröselst,crumble off
abbröselte,crumbled off
abbröselten,crumbled off
abbröseltest,crumbled off
Abbruch,cancellation
Abbruchanforderung,Cancellation request
Abbruchanforderungen,Cancellation requests
Abbruchanforderungssignale,Abort request signals
Abbruchanforderungssignalen,Abort request signals
Abbruchanforderungssignals,Abort request signal
Abbrucharbeiter,Demolition workers
Abbrucharbeiters,Demolition worker
Abbruchartefakt,Termination artifact
Abbruchartefakte,Termination artifacts
Abbruchartefaktes,Termination artifact
Abbruchbagger,Demolition excavator
Abbruchbaggern,Demolition excavators
Abbruchbedingung,Termination condition
Abbruchbedingungen,Termination conditions
Abbruchbegründung,Reason for termination
Abbruchbegründungen,Reasons for termination
Abbruchbereich,Abort area
Abbruchbereichen,Demolition areas
Abbruchbirnen,Demolition pears
Abbruchcode,Abort code
Abbrucheinsatz,Demolition use
Abbrüchen,Crashes
Abbrucherwägung,Abort consideration
Abbrucherwägungen,Demolition Considerations
Abbruchfälle,Cancellation cases
Abbruchgeräte,Demolition equipment
Abbruchnischen,Demolition niches
Abbruchobjekts,Abort object
Abbruchproduktes,Demolition product
Abbruchquote,Dropout rate
Abbruchquoten,Dropout rates
Abbruchrate,Abandonment rate
Abbruchreaktionen,Termination reactions
Abbruchrecht,Right of termination
Abbruchrechts,Right of termination
abbruchreif,ripe for demolition
abbruchreife,demolition
abbruchreifen,demolition
abbruchreifer,demolition
Abbruchresten,Demolition residues
Abbruchrisiko,Cancellation risk
Abbruchrisikos,Demolition risk
Abbruchs,Abort
Abbruchschaufeln,Demolition shovels
Abbruchschutts,Demolition rubble
Abbruchseite,Demolition page
Abbruchsieg,Demolition victory
Abbruchsiege,Demolition victories
Abbruchsieges,Demolition victory
Abbruchsiegs,Abort Victory
Abbruchsignal,Termination signal
Abbruchsignale,Abort signals
Abbruchspannung,Termination voltage
Abbruchspannungen,Breakdown stresses
Abbruchsprengung,Demolition blast
Abbruchstätte,Demolition site
Abbruchstein,Demolition stone
Abbruchsteine,Demolition stones
Abbruchsteinen,Demolition stones
Abbruchsteins,Demolition stone
Abbruchstelle,Termination point
Abbruchstellen,Interruption points
Abbruchstück,Debris
Abbruchstücks,Debris
Abbruchstufe,Abort level
Abbruchstufen,Abort levels
Abbruchtaste,Cancel button
Abbruchtasten,Cancel buttons
Abbruchtrupps,Demolition teams
Abbruchunternehmen,Demolition company
Abbruchunternehmer,Demolition contractor
Abbruchverfügungen,Cancellation orders
Abbruchwahrscheinlichkeit,Abort probability
Abbruchwahrscheinlichkeiten,Termination probabilities
Abbruchwarnungen,Termination warnings
Abbruchzange,Demolition cutter
Abbruchzangen,Demolition pliers
abbrumme,hum
abbrummen,hum
abbrummst,hums
abbrummt,hums
abbrummte,growled
abbrummten,growled
abbrummtest,hummed
abbuche,debit
abbuchen,debit
abbuchend,debiting
abbuchende,debiting
abbuchenden,debiting
abbuchender,debiting
abbuchendes,debiting
abbucht,debits
abbuchte,debited
abbuchten,deduct
Abbuchung,Direct debit
Abbuchungen,Debits
Abbuchungsauftrag,Direct debit order
Abbuchungsaufträgen,Direct debit orders
Abbuchungsauftrages,Direct debit order
Abbuchungsauftrags,Direct debit order
Abbuchungsauftragsverfahren,Debit order procedure
Abbuchungsauftragsverfahrens,Direct debit order procedure
Abbuchungserlaubnis,Direct debit authorization
Abbuchungslimit,Withdrawal limit
Abbuchungslimits,Withdrawal Limits
Abbuchungssysteme,Debit systems
Abbuchungssystemen,Debit systems
Abbuchungsverfahrens,Debit procedure
Abbuchungsvorgang,Withdrawal process
Abbuchungsvorgänge,Debit transactions
Abbuchungsvorgängen,Debit transactions
Abbuchungsvorgangs,Debiting process
abbügele,iron off
abbügeln,iron off
abbügelnd,ironing off
abbügelnde,ironing
abbügelndem,ironing
abbügelnden,ironing
abbügelnder,ironing
abbügelndes,ironing
abbügelst,ironed off
abbügelt,irons
abbügelte,ironed off
abbügelten,ironed off
abbummele,go shopping
abbummeln,stroll around
abbummelst,strolling around
abbummelte,strolled
abbummelten,strolled
abbummeltest,dumped
abbürste,brush off
abbürsten,brush off
abbürstend,brushing off
abbürstendem,brushing off
abbürstenden,brushing off
abbürstender,brushing
abbürstendes,brushing off
Abbürstens,Brushing off
abbürstest,brush off
abbürstet,brushes off
abbürstete,brushed off
abbürsteten,brushed off
abbürstetest,brush test
abbürstetet,brushed off
abbüße,repent
abbüßen,atone
abbüßend,serving
abbüßende,serving
abbüßendem,expiring
abbüßenden,serving
abbüßender,repentant
abbüßendes,expiring
Abbüßens,Serving
abbüßt,atone
abbüßte,atoned
abbüßten,atone
abbüßtest,repented
abbüßtet,atoned for
Abbüßung,Atonement
Abc,ABC
Abchase,Abkhazia
Abchasen,Abkhazians
Abchasien,Abkhazia
Abchasiens,Abkhazia
Abchasin,Abkhazin
Abchasinnen,Abkhazians
abchasisch,Abkhazian
abchasische,Abkhazian
abchasischem,Abkhazian
abchasischen,Abkhazian
abchasischer,Abkhazian
abchasisches,Abkhazian
abchecke,check out
abchecken,check out
abcheckend,checking out
abcheckende,checking
abcheckendem,checking
abcheckenden,checking
abcheckender,checking
abcheckendes,checking
abcheckst,check out
abcheckt,checks out
abcheckte,checked out
abcheckten,checked out
abchecktest,checked out
abchecktet,checked out
abchillen,chill off
abchillst,chill
abchillt,chills off
abchillte,chilled off
abchillten,chill off
abchilltest,chill test
Abdachung,Incline
abdackele,dackel
abdackeln,dachshund
abdackelst,flickering
abdackelt,flicks off
abdackelte,flicked off
abdackelten,flipped off
abdackeltest,flickering
abdämme,dam
abdämmen,dam up
abdämmend,damming
abdämmende,damming
abdämmendem,insulating
abdämmenden,damming
abdämmender,damming
abdämmendes,damming
abdämmst,dam off
abdämmt,damming
abdämmte,dammed
abdämmten,dammed
abdämmtest,damming
abdämmtet,dammed
Abdämmung,Damming
Abdampfapparat,Exhaust steam apparatus
Abdampfapparate,Exhaust steamers
Abdampfapparaten,Exhaust steamers
Abdampfapparats,Exhaust steam apparatus
Abdampfdruck,Exhaust pressure
Abdampfdrucks,Exhaust pressure
Abdampfdurchsatzes,Exhaust steam throughput
abdämpfe,steam off
abdampfen,evaporate
abdämpfen,dampen
abdampfend,evaporating
abdämpfend,dampening
abdampfende,evaporating
abdämpfende,cushioning
abdampfendem,evaporating
abdämpfendem,dampening
abdämpfenden,dampening
abdampfender,evaporating
abdämpfender,dampening
abdämpfendes,dampening
Abdampfenergie,Evaporation energy
Abdampfens,Evaporation
Abdampffahne,Exhaust plume
Abdampfflansch,Exhaust flange
Abdampfflut,Exhaust flow
Abdampfgehäuse,Exhaust housing
Abdampfgehäusen,Exhaust housing
